Date,Open,High,Low,Close,Adj Close,Volume
2020-05-01,207.901733,244.045258,180.718338,230.975708,230.975708,505593287696
2020-06-01,230.860260,252.222000,219.472672,226.315002,226.315002,252220724156
2020-07-01,226.134583,348.611359,224.544495,345.554657,345.554657,251431946993
2020-08-01,345.798615,444.577759,343.587433,435.079742,435.079742,374122796720
2020-09-01,434.874451,487.211884,316.774353,360.022369,360.022369,503460977506
2020-10-01,360.004639,420.141663,335.533600,386.590332,386.590332,360623040866
2020-11-01,386.590332,621.173401,371.312744,614.842529,614.842529,487476388045
2020-12-01,615.070313,754.303223,532.998413,737.803406,737.803406,470673397126
2021-01-01,737.708374,1467.784912,718.109497,1314.986206,1314.986206,1186797483413
2021-02-01,1314.855225,2036.286499,1274.357788,1416.048950,1416.048950,1007718046121
2021-03-01,1417.151123,1947.837769,1416.416138,1918.362061,1918.362061,730832219123
2021-04-01,1919.157227,2641.094971,1912.178467,2403.535156,2403.535156,712143054896
2021-04-24,2357.137695,2357.137695,2237.737793,2237.737793,2237.737793,50755899392
